id	sha256	pages	acquired_on	source_url	publisher	rights_status	acquisition_status	resolved_title	resolved_author
emerson-nature	809d1cbf2bddb418218e43eaf455408fb088174faa71cce1dcc8163a5e0be020	40	2026-08-16	https://www.gutenberg.org/ebooks/29433	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Nature	Emerson, Ralph Waldo
thoreau-walden	ebe12f2ac74a65e1383cd02e798e38a6faea8adfd86519da8d460f3fa770fb86	13	2026-08-16	https://www.gutenberg.org/ebooks/26289	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Walden	Thoreau, Henry David
darwin-origin	4a8578ea4f394f78d889c1782ae75cb7c72fd1d1883b2e86dcbc5825f143bc76	332	2026-08-16	https://www.gutenberg.org/ebooks/1228	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	On the Origin of Species By Means of Natural Selection: Or, the Preservation of Favoured Races in the Struggle for Life	Darwin, Charles
darwin-descent	0575b3aa0ea01026b7ea50e01c58448ab47e190abae429c5fab28e3aa24f5abe	668	2026-08-16	https://www.gutenberg.org/ebooks/2300	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The Descent of Man, and Selection in Relation to Sex	Darwin, Charles
kropotkin-mutual-aid	89173359656d12059be3325fd90cd717a199f603e9eac854ecade9229d3885ad	192	2026-08-16	https://www.gutenberg.org/ebooks/4341	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Mutual Aid: A Factor of Evolution	Kropotkin, Petr Alekseevich, kniaz
humboldt-cosmos	ae21d31849ee012fa26646b8add1d500b5e08694059a87de6eef2196413b23f7	389	2026-08-16	https://www.gutenberg.org/ebooks/14565	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Cosmos: A Sketch of the Physical Description of the Universe, Vol. 1	Humboldt, Alexander von
marsh-man-nature	b93f17146a2782d2e8f14bf0ec81fb6c122d58e317fc1121f34909d8f3faa174	496	2026-08-16	https://www.gutenberg.org/ebooks/37957	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Man and Nature; Or, Physical Geography as Modified by Human Action	Marsh, George P. (George Perkins)
muir-first-summer	7c2adf5d3194f5a90e4ebf30530490fad6a3ed7be633564172c59989d9db2613	131	2026-08-16	https://www.gutenberg.org/ebooks/32540	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	My First Summer in the Sierra	Muir, John
leopold-sand-county	55e852a86c28880918cfdbcc765a261364341a29e3523fff44ffd22d34bdf29c	1	2026-08-16	local bibliographic record	WAYKEEPER	FULL TEXT NOT INCLUDED / LICENSE REQUIRED	license-required	A Sand County Almanac	Aldo Leopold
augustine-confessions	d5204fabb4e08e52db7384571f58de7109db369ba7cb5d6a12aeff8e02693f59	195	2026-08-16	https://www.gutenberg.org/ebooks/3296	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The Confessions of St. Augustine	Augustine, of Hippo, Saint
